# iter, k, k_l, k_r, k_opt, c_k
1,19,0,38,39,1.99e-06
2,29,20,38,39,4.44e-07
3,24,20,28,29,8.25e-07
4,22,20,23,24,1.23e-06
5,23,23,23,24,1.04e-06
